date,open,high,low,close,volume,ma50,ma200
2025-12-04 11:30:00,5.7,5.7,5.68,5.69,1499200,5.5986,
2025-12-04 13:15:00,5.69,5.72,5.69,5.72,8092200,5.602800000000001,
2025-12-04 13:30:00,5.71,5.71,5.7,5.71,1623000,5.607,
2025-12-04 13:45:00,5.71,5.71,5.69,5.7,2680200,5.6108,
2025-12-04 14:00:00,5.7,5.7,5.69,5.7,1575100,5.614599999999999,
2025-12-04 14:15:00,5.7,5.7,5.69,5.7,1922600,5.618599999999999,
2025-12-04 14:30:00,5.69,5.7,5.69,5.69,2049300,5.6222,
2025-12-04 14:45:00,5.69,5.7,5.69,5.69,2186700,5.625400000000001,
2025-12-04 15:00:00,5.69,5.7,5.68,5.69,4318200,5.6284,
2025-12-05 09:45:00,5.7,5.73,5.68,5.73,7431900,5.6324000000000005,
2025-12-05 10:00:00,5.73,5.73,5.7,5.7,2796300,5.6356,
2025-12-05 10:15:00,5.7,5.7,5.66,5.66,3443000,5.6374,
2025-12-05 10:30:00,5.66,5.66,5.63,5.64,3071600,5.638999999999999,
2025-12-05 10:45:00,5.64,5.65,5.63,5.64,3344800,5.640600000000001,
2025-12-05 11:00:00,5.63,5.64,5.62,5.62,2931800,5.6414,
2025-12-05 11:15:00,5.62,5.64,5.62,5.63,1616300,5.642600000000001,
2025-12-05 11:30:00,5.62,5.63,5.62,5.62,1881700,5.643399999999999,
2025-12-05 13:15:00,5.63,5.64,5.62,5.62,1611600,5.644399999999999,
2025-12-05 13:30:00,5.63,5.63,5.62,5.62,1137300,5.645599999999999,
2025-12-05 13:45:00,5.63,5.64,5.62,5.62,2482600,5.646599999999999,
2025-12-05 14:00:00,5.64,5.64,5.62,5.64,1229600,5.648,
2025-12-05 14:15:00,5.63,5.65,5.63,5.64,2900600,5.6496,
2025-12-05 14:30:00,5.64,5.65,5.63,5.64,1145000,5.651,
2025-12-05 14:45:00,5.64,5.65,5.63,5.65,2106800,5.6526,
2025-12-05 15:00:00,5.64,5.65,5.63,5.64,2341700,5.654000000000001,
2025-12-08 09:45:00,5.66,5.67,5.63,5.63,5877400,5.655,
2025-12-08 10:00:00,5.63,5.65,5.61,5.64,4107000,5.6562,
2025-12-08 10:15:00,5.64,5.65,5.62,5.63,3023500,5.657,
2025-12-08 10:30:00,5.63,5.64,5.63,5.63,1075700,5.6578,
2025-12-08 10:45:00,5.63,5.64,5.63,5.63,1404300,5.6579999999999995,
2025-12-08 11:00:00,5.64,5.64,5.63,5.63,2275300,5.658199999999999,
2025-12-08 11:15:00,5.63,5.64,5.63,5.64,824700,5.658199999999999,
2025-12-08 11:30:00,5.64,5.64,5.62,5.62,980400,5.6578,
2025-12-08 13:15:00,5.63,5.64,5.62,5.63,1388200,5.6575999999999995,
2025-12-08 13:30:00,5.62,5.64,5.62,5.63,896700,5.6572000000000005,
2025-12-08 13:45:00,5.62,5.64,5.62,5.63,1427000,5.6568000000000005,
2025-12-08 14:00:00,5.63,5.64,5.62,5.63,815700,5.6562,
2025-12-08 14:15:00,5.63,5.64,5.62,5.63,1647600,5.655600000000001,
2025-12-08 14:30:00,5.63,5.63,5.62,5.62,1115100,5.6552,
2025-12-08 14:45:00,5.62,5.63,5.61,5.62,2218400,5.6548,
2025-12-08 15:00:00,5.62,5.62,5.6,5.61,2753400,5.6541999999999994,
2025-12-09 09:45:00,5.62,5.62,5.58,5.59,4964800,5.6528,
2025-12-09 10:00:00,5.59,5.59,5.57,5.58,3904600,5.6514,
2025-12-09 10:15:00,5.59,5.59,5.57,5.58,1657900,5.649399999999999,
2025-12-09 10:30:00,5.57,5.59,5.57,5.59,1469200,5.6478,
2025-12-09 10:45:00,5.58,5.59,5.58,5.58,842000,5.646,
2025-12-09 11:00:00,5.58,5.59,5.58,5.58,822700,5.6442,
